,MobileNetV2,VGG-19,InceptionV3
2D MobileNet,60.874399999999994,45.00239999999999,37.486000000000004
2D VGG,61.99440000000001,60.73600000000003,47.75900000000001
2D Inception,53.217000000000006,54.5382,47.4462
