,MobileNetV2,VGG-19,InceptionV3
OG MobileNet,91.75333333333334,60.919999999999995,35.040000000000006
OG VGG,75.41666666666666,76.80333333333334,44.07666666666666
OG Inception,60.67,71.83666666666667,53.64
