,MobileNetV2,VGG-19,InceptionV3
OG MobileNet,94.77600000000001,57.894999999999996,35.036
OG VGG,73.149,77.15799999999999,43.059999999999995
OG Inception,63.89600000000001,64.46099999999998,53.00800000000001
