,MobileNetV2,VGG-19,InceptionV3
3D MobileNet,81.96660000000001,68.30199999999999,48.237199999999994
3D VGG,76.15459999999999,78.8688,43.833999999999996
3D Inception,61.355000000000004,61.61640000000001,51.30599999999998
