,MobileNetV2,VGG-19,InceptionV3
3D MobileNet,78.1534,67.20680000000002,45.337800000000016
3D VGG,76.3904,78.0564,43.58860000000002
3D Inception,69.00699999999998,72.6204,46.00339999999999
